cohort,stage,r2,maeMin,mapePct,biasMin
hardTrailRun,E1 distance in-sample,0.7680579176083937,49.49683011383624,26.749816447891433,-15.42207399649087
hardTrailRun,E2 terrain physics + progress in-sample,0.9661082729591104,20.271712410059557,12.40976208991698,-4.0800519755973825
hardTrailRun,E3 CTL readiness in-sample,0.9662860811973567,20.238491482329803,12.483365155584565,-4.058800735713182
hardTrailRun,E4 REDI readiness in-sample,0.966307104127314,20.227314734767976,12.510756728971126,-4.062023889666519
hardTrailRun,E5 HR effort in-sample,0.9932319623743247,8.653564332610152,5.897380398032053,-1.731095739610385
hardTrailRun,E6 decayed acute TRIMP in-sample,0.9935482022424267,8.76643814640495,5.948990019716884,-1.7553393882017463
hardTrailRun,E6 decayed acute TRIMP LOO,0.9898164932410677,10.43517671881366,6.591014644378343,-1.6698729807936925
hardTrailRun,E6bis cumulative acute TRIMP in-sample,0.9913067293351504,9.610689064880923,6.132641952088425,-1.7562858841979136
hardTrailRun,E6bis cumulative acute TRIMP LOO,0.9649307307513305,13.379871235429782,7.071814047918728,0.3835053844062986
top10HardTrailByHRR,E1 distance in-sample,0.8947122659403702,16.757788207785534,21.331421872710855,-5.554778802657593
top10HardTrailByHRR,E2 terrain physics + progress in-sample,0.983882873776326,5.78440390380473,7.075801601694641,-0.8186582393904632
top10HardTrailByHRR,E3 CTL readiness in-sample,0.9920188831083262,4.593514762572503,5.975030238809284,-0.708778677249195
top10HardTrailByHRR,E4 REDI readiness in-sample,0.9912904387071224,4.891826587331384,6.258438098810871,-0.6793502599909387
top10HardTrailByHRR,E5 HR effort in-sample,0.9938152710898742,4.030790592096076,4.967821141186516,-0.6761433068913622
top10HardTrailByHRR,E6 decayed acute TRIMP in-sample,0.9960776486033461,3.25465175469909,4.539137965429382,-0.7505807900199664
top10HardTrailByHRR,E6 decayed acute TRIMP LOO,0.9843450192388615,6.673219855067348,8.356750881107008,-1.4001975719705562
top10HardTrailByHRR,E6bis cumulative acute TRIMP in-sample,0.9966501913227396,2.6777298351782344,3.9721596172376583,-0.6838978219348785
top10HardTrailByHRR,E6bis cumulative acute TRIMP LOO,0.9906233259053978,5.280481480027833,7.525649535942202,-1.045173977292935
selectedDateRaces,E1 distance in-sample,0.760366309131066,47.169503514283775,27.41861877949082,-14.202728286754875
selectedDateRaces,E2 terrain physics + progress in-sample,0.963896817270828,18.29132469478777,12.357843036836151,-3.222985429949784
selectedDateRaces,E3 CTL readiness in-sample,0.9819830728475416,13.198032644868382,11.828693589905576,-2.769607281616786
selectedDateRaces,E4 REDI readiness in-sample,0.9826940871197236,13.383646178620173,12.09998414419291,-2.7305047770102084
selectedDateRaces,E5 HR effort in-sample,0.9962107622364964,6.6166854852776815,6.225433015211206,-1.4044717550303416
selectedDateRaces,E6 decayed acute TRIMP in-sample,0.9960037867316645,6.80689761771775,5.376781271157371,-1.3162847167330953
selectedDateRaces,E6 decayed acute TRIMP LOO,0.978856985554655,13.489542203712562,7.378893885697425,0.3984711588845248
selectedDateRaces,E6bis cumulative acute TRIMP in-sample,0.994380293554307,8.021594053791288,5.882332850353094,-1.309210504401205
selectedDateRaces,E6bis cumulative acute TRIMP LOO,0.91677813210606,20.946968562218835,8.773256240098105,5.983472431665732
